tweet_id,hashtags
dic -2019,"
;enamoranicaragua
;19marzo
;minsanicaragua
;visitnicaragua
;noelia;arauz;;;jack593;13"
dic -2019,;elecuadordelencuentro;lassoesmoreno
ago -2020,";lassosodaliciopedofilia;lassoodiamanabi
;lassoesmoreno;lassonuncaserapresidente;lassoeselqueempujalasilla;;;luisevivanco;lassosodaliciopedofilia;lassoodiamanabi
;lassoesmoreno;lassonuncaserapresidente;lassoeselqueempujalasilla;;;elcomerciocom"
oct -2019,;vacunadosgold;lassoesmoreno
ene -2020,;elbinomiodelaesperanza;contigocontodosahora;andrésarauzpresidente;arauzescorrea;arauzmiente;;;uncafeconjj;pandorapapers;pandorapapers;pandorapapers
dic -2020,;empresademercadoalimentario;;;ecuarauz
abr -2020,"marcha
;estamosconyacu
;concluyaku
;transparenciacne;;;eluniversocom;leymorenolasso
;feriadasso;leymorenolasso
;feriadasso"
jun -2020,;leydesarrolloeconomico
feb -2020,";acero;cabrera;tabladedrogas;mariposadelsur;presidente;;;anderssonboscan;salcedos;rc;ap;jimenez;ojoalpiojo;;mata
;bozalparajimenez;;me;malaleche
nunca;malaleche
nunca"
sept -2020,;pandorapapers
mar -2021,;arauznomientasotravez;;;salimzaidan;arauznomientasotravez;;;salimzaidan
mar -2021,"demócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;anderssonboscandemócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;moviliderecdemócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;salamandraecdemócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;bastaimpunidaddemócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;eloytarira05demócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;jamejennisitademócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;justicevera26demócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021;;;eloytarira05demócrata
👍👍👍👍👍👍
;andresnomientasotravez
;andresnoborresotravez
;andresasustadoteveo
lasso;país
;reddetuiterosconlasso
;fusiondemocrata
;lassopresidente2021"
